Gorai.001G000100.1	GO:0016429, GO:0030488
Gorai.005G050200.1	GO:0016491, GO:0055114, GO:0016616
Gorai.005G050500.1	GO:0008168, GO:0008152
Gorai.005G050600.1	GO:0004672, GO:0005524, GO:0006468, GO:0004674
Gorai.005G050700.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G051000.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.005G051100.1	GO:0017089, GO:0051861, GO:0046836, GO:0005737
Gorai.005G051200.1	GO:0003777, GO:0005524, GO:0007018
Gorai.005G051400.1	GO:0016021
Gorai.005G052000.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.005G052500.1	GO:0005215, GO:0006857, GO:0016020
Gorai.005G052700.1	GO:0003676
Gorai.005G052800.1	GO:0008610, GO:0008168, GO:0008152
Gorai.005G052900.1	GO:0009055, GO:0016491, GO:0055114, GO:0050660, GO:0008033, GO:0008610, GO:0008168, GO:0008757, GO:0009312, GO:0009877, GO:0008152
Gorai.005G053000.1	GO:0003676
Gorai.005G053200.1	GO:0003723, GO:0003743, GO:0006413, GO:0005737
Gorai.005G053300.1	GO:0003735, GO:0006412, GO:0005840
Gorai.005G053500.1	GO:0005515
Gorai.005G053600.1	GO:0005515, GO:0004842, GO:0016567, GO:0000151
Gorai.005G054000.1	GO:0003676
Gorai.005G054100.1	GO:0003676, GO:0006810, GO:0005622
Gorai.005G054200.1	GO:0005515
Gorai.005G054300.1	GO:0006950
Gorai.005G054500.1	GO:0016491, GO:0016706, GO:0055114
Gorai.005G054600.1	GO:0016491, GO:0016706, GO:0055114
Gorai.005G054700.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.005G054800.1	GO:0008299
Gorai.005G054900.1	GO:0003677
Gorai.005G055100.1	GO:0055085, GO:0016021
Gorai.005G055400.1	GO:0055085, GO:0016021
Gorai.005G055800.1	GO:0004014, GO:0006597, GO:0008295
Gorai.005G055900.1	GO:0003824
Gorai.005G056400.1	GO:0022857, GO:0055085, GO:0016021
Gorai.005G056500.1	GO:0003677, GO:0005634
Gorai.005G056900.1	GO:0031072
Gorai.005G057000.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G057100.1	GO:0015299, GO:0006812, GO:0055085, GO:0016021
Gorai.005G057200.1	GO:0005515
Gorai.005G057300.1	GO:0016161, GO:0000272
Gorai.005G057600.1	GO:0008270
Gorai.005G057700.1	GO:0004806, GO:0006629
Gorai.005G057800.1	GO:0005515
Gorai.005G058000.1	GO:0005515
Gorai.005G058100.1	GO:0005515
Gorai.005G058300.1	GO:0005515
Gorai.005G058400.1	GO:0003677, GO:0005524, GO:0003676, GO:0004386, GO:0016787, GO:0031491, GO:0043044, GO:0016585, GO:0016818, GO:0006338, GO:0005634
Gorai.005G058500.1	GO:0009055, GO:0015035, GO:0045454
Gorai.005G058600.1	GO:0009055, GO:0015035, GO:0045454
Gorai.005G058700.1	GO:0003700, GO:0006355
Gorai.005G058800.1	GO:0003676, GO:0008270
Gorai.005G058900.1	GO:0003677
Gorai.005G059200.1	GO:0005515
Gorai.005G059300.1	GO:0008270
Gorai.005G059400.1	GO:0031625, GO:0006511, GO:0031461
Gorai.005G059500.1	GO:0003677, GO:0043565, GO:0005622
Gorai.005G060100.1	GO:0003735, GO:0006412, GO:0005840
Gorai.005G060400.1	GO:0016758, GO:0016021
Gorai.005G060600.1	GO:0005515
Gorai.005G060800.1	GO:0031072
Gorai.005G060900.1	GO:0005515
Gorai.005G061000.1	GO:0003854, GO:0016616, GO:0006694, GO:0055114, GO:0003824, GO:0050662, GO:0044237, GO:0008831, GO:0045226
Gorai.005G061100.1	GO:0016021
Gorai.005G061200.1	GO:0007017, GO:0005875
Gorai.005G061400.1	GO:0015238, GO:0015297, GO:0006855, GO:0055085, GO:0016020
Gorai.005G061800.1	GO:0016627, GO:0055114, GO:0003995, GO:0016491
Gorai.005G061900.1	GO:0004650, GO:0005975
Gorai.005G062000.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.005G062100.1	GO:0003824, GO:0008152
Gorai.005G062200.1	GO:0003824
Gorai.005G062300.1	GO:0046872, GO:0030001
Gorai.005G062500.1	GO:0006952, GO:0009607
Gorai.005G062600.1	GO:0006952, GO:0009607
Gorai.005G062700.1	GO:0006952, GO:0009607
Gorai.005G062800.1	GO:0006952, GO:0009607
Gorai.005G063100.1	GO:0016779, GO:0008152
Gorai.005G063200.1	GO:0006952, GO:0009607
Gorai.005G063300.1	GO:0006952, GO:0009607
Gorai.005G063400.1	GO:0006952, GO:0009607
Gorai.005G063600.1	GO:0006952, GO:0009607
Gorai.005G063900.1	GO:0006952, GO:0009607
Gorai.005G064000.1	GO:0006952, GO:0009607
Gorai.005G064100.1	GO:0006952, GO:0009607
Gorai.005G064300.1	GO:0006952, GO:0009607
Gorai.005G064500.1	GO:0006952, GO:0009607
Gorai.005G064700.1	GO:0006952, GO:0009607
Gorai.005G064800.1	GO:0006952, GO:0009607
Gorai.005G064900.1	GO:0006952, GO:0009607
Gorai.005G065300.1	GO:0003700, GO:0008270, GO:0043565, GO:0006355
Gorai.005G065400.1	GO:0005515, GO:0008565, GO:0006606, GO:0005634, GO:0005737
Gorai.005G065500.1	GO:0003824, GO:0008152
Gorai.005G065600.1	GO:0003824, GO:0008152
Gorai.005G065700.1	GO:0005515, GO:0003677, GO:0005634
Gorai.005G065800.1	GO:0005525, GO:0007264, GO:0004871, GO:0019001, GO:0007186, GO:0005634, GO:0005737, GO:0005622
Gorai.005G065900.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.005G066000.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.005G066500.1	GO:0004857, GO:0030599
Gorai.005G066600.1	GO:0006950
Gorai.005G066700.1	GO:0016491, GO:0008152, GO:0055114
Gorai.005G066800.1	GO:0003755, GO:0006457
Gorai.005G066900.1	GO:0008080, GO:0016747
Gorai.005G067100.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G067300.1	GO:0004672, GO:0005524, GO:0006468, GO:0006355, GO:0005515
Gorai.005G067400.1	GO:0004672, GO:0005524, GO:0006468, GO:0006355, GO:0005515
Gorai.005G067600.1	GO:0003824
Gorai.005G068000.1	GO:0004177, GO:0006508, GO:0005622
Gorai.005G068100.1	GO:0003700, GO:0043565, GO:0006355
Gorai.005G068200.1	GO:0004601, GO:0020037, GO:0006979, GO:0055114
Gorai.005G068300.1	GO:0003676, GO:0008408, GO:0006139, GO:0005622
Gorai.005G068400.1	GO:0003723, GO:0004652, GO:0043631, GO:0005634, GO:0006351
Gorai.005G068500.1	GO:0003723, GO:0004652, GO:0043631, GO:0005634, GO:0006351
Gorai.005G068600.1	GO:0005525, GO:0007264, GO:0005622
Gorai.005G068900.1	GO:0003677
Gorai.005G069100.1	GO:0003676, GO:0008270
Gorai.005G069200.1	GO:0003723
Gorai.005G069400.1	GO:0016491, GO:0050660, GO:0055114, GO:0009055, GO:0008033, GO:0003857, GO:0006631, GO:0045454, GO:0005737
Gorai.005G069500.1	GO:0003824
Gorai.005G069600.1	GO:0005529, GO:0008378, GO:0006486, GO:0016020
Gorai.005G069700.1	GO:0008104
Gorai.005G069900.1	GO:0004650, GO:0005975
Gorai.005G070200.1	GO:0006820, GO:0016021
Gorai.005G070600.1	GO:0003676, GO:0005524, GO:0008026, GO:0004386, GO:0005515, GO:0003677, GO:0016787
Gorai.005G070800.1	GO:0016491, GO:0008152
Gorai.005G070900.1	GO:0008565, GO:0006886
Gorai.005G071000.1	GO:0008119, GO:0008152, GO:0005737, GO:0008168
Gorai.005G071100.1	GO:0005515
Gorai.005G071200.1	GO:0000045, GO:0005737
Gorai.005G071300.1	GO:0004478
Gorai.005G071400.1	GO:0003677, GO:0005634
Gorai.005G071500.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G071600.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G071700.1	GO:0003677, GO:0003899, GO:0006351
Gorai.005G072600.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.005G072800.1	GO:0005515, GO:0008270
Gorai.005G073000.1	GO:0003723, GO:0009982, GO:0001522, GO:0009451
Gorai.005G073100.1	GO:0004930, GO:0007186, GO:0016021
Gorai.005G073200.1	GO:0016787
Gorai.005G073500.1	GO:0016758, GO:0008152
Gorai.005G073700.1	GO:0016758, GO:0008152
Gorai.005G073800.1	GO:0004190, GO:0006508, GO:0006629
Gorai.005G073900.1	GO:0004190, GO:0006508, GO:0006629
Gorai.005G074300.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G074900.1	GO:0008219, GO:0016021
Gorai.005G075000.1	GO:0008270, GO:0005622
Gorai.005G075300.1	GO:0022857, GO:0055085, GO:0016021
Gorai.005G075600.1	GO:0004672, GO:0005524, GO:0006468, GO:0048544, GO:0005529
Gorai.005G075700.1	GO:0004672, GO:0005524, GO:0006468, GO:0048544, GO:0005529
Gorai.005G075900.1	GO:0016020
Gorai.005G076200.1	GO:0003677, GO:0006355
Gorai.005G076300.1	GO:0003723, GO:0009982, GO:0001522, GO:0009451
Gorai.005G076500.1	GO:0003924, GO:0005525, GO:0007264, GO:0005634, GO:0005737, GO:0005622
Gorai.005G076600.1	GO:0016491, GO:0055114, GO:0005507
Gorai.005G076800.1	GO:0003723
Gorai.005G077200.1	GO:0003723, GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.005G077600.1	GO:0004601, GO:0020037, GO:0006979, GO:0055114
Gorai.005G077800.1	GO:0008270
Gorai.005G077900.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.005G078100.1	GO:0003700, GO:0006355
Gorai.005G078200.1	GO:0003676
Gorai.005G078300.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.005G078400.1	GO:0003777, GO:0005524, GO:0007018
Gorai.005G078500.1	GO:0003700, GO:0043565, GO:0046983, GO:0006355
Gorai.005G078900.1	GO:0005515
Gorai.005G079500.1	GO:0005506, GO:0009055, GO:0016705, GO:0020037, GO:0055114
Gorai.005G079700.1	GO:0003700, GO:0043565, GO:0046983, GO:0006355
Gorai.005G079800.1	GO:0005506, GO:0009055, GO:0016705, GO:0020037, GO:0055114
Gorai.005G080000.1	GO:0004672, GO:0005524, GO:0006468, GO:0016597, GO:0008152
Gorai.005G080200.1	GO:0004672, GO:0005524, GO:0006468, GO:0048544, GO:0005529
Gorai.005G080300.1	GO:0042578, GO:0005975
Gorai.005G080500.1	GO:0046872
Gorai.005G080600.1	GO:0004842, GO:0016567, GO:0000151
Gorai.005G080700.1	GO:0004842, GO:0016567, GO:0000151
Gorai.005G080800.1	GO:0004672, GO:0005524, GO:0006468, GO:0005488
Gorai.005G081000.1	GO:0003677, GO:0008270, GO:0006355
Gorai.005G081200.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.005G081700.1	GO:0008270, GO:0016491, GO:0055114
Gorai.005G081900.1	GO:0008270, GO:0016491, GO:0055114
Gorai.005G082000.1	GO:0005524, GO:0009507
Gorai.005G082100.1	GO:0005515
Gorai.005G082300.1	GO:0008270, GO:0016491, GO:0055114
Gorai.005G082400.1	GO:0008270, GO:0016491, GO:0055114
Gorai.005G082500.1	GO:0055085, GO:0016021
Gorai.005G082700.1	GO:0016020
Gorai.005G082800.1	GO:0005509, GO:0015979, GO:0009523, GO:0009654, GO:0019898
Gorai.005G082900.1	GO:0016021
Gorai.005G083300.1	GO:0045454
Gorai.005G083400.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G083500.1	GO:0042254
Gorai.005G083800.1	GO:0005515
Gorai.005G083900.1	GO:0003824, GO:0008152
Gorai.005G084000.1	GO:0005507, GO:0009055
Gorai.005G084300.1	GO:0003924, GO:0005525, GO:0007264, GO:0005634, GO:0005737, GO:0005622
Gorai.005G084400.1	GO:0003824
Gorai.005G084500.1	GO:0003676, GO:0005524, GO:0008026, GO:0004386, GO:0003723, GO:0016818, GO:0005634
Gorai.005G084600.1	GO:0005515
Gorai.005G084700.1	GO:0016597, GO:0008152
Gorai.005G084800.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G085000.1	GO:0016624, GO:0008152
Gorai.005G085500.1	GO:0005515, GO:0004672, GO:0005524, GO:0006468, GO:0005509
Gorai.005G085600.1	GO:0005515, GO:0004672, GO:0005524, GO:0006468, GO:0005509
Gorai.005G085800.1	GO:0005515, GO:0004672, GO:0005524, GO:0006468, GO:0005509, GO:0004674, GO:0016021
Gorai.005G085900.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G086000.1	GO:0005515, GO:0004672, GO:0005524, GO:0006468, GO:0005509
Gorai.005G086100.1	GO:0008168, GO:0008152
Gorai.005G086200.1	GO:0004672, GO:0005524, GO:0006468, GO:0005509, GO:0004674, GO:0016021
Gorai.005G086300.1	GO:0004672, GO:0005524, GO:0006468, GO:0005509, GO:0004674, GO:0016021
Gorai.005G086400.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G086500.1	GO:0005515, GO:0004672, GO:0005524, GO:0006468, GO:0005509
Gorai.005G086600.1	GO:0046983
Gorai.005G086700.1	GO:0004672, GO:0005524, GO:0006468, GO:0005509, GO:0004674, GO:0016021
Gorai.005G086800.1	GO:0004672, GO:0005524, GO:0006468, GO:0005509
Gorai.005G086900.1	GO:0005515
Gorai.005G087000.1	GO:0008168
Gorai.005G087200.1	GO:0016779, GO:0008152
Gorai.005G087500.1	GO:0005515, GO:0008270
Gorai.005G087600.1	GO:0003677, GO:0046983, GO:0003700, GO:0006355, GO:0005634
Gorai.005G087900.1	GO:0016491, GO:0016706, GO:0055114
Gorai.005G088000.1	GO:0016491, GO:0016706, GO:0055114
Gorai.005G088100.1	GO:0005515
Gorai.005G088200.1	GO:0005515
Gorai.005G088300.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G088500.1	GO:0003677, GO:0005515
Gorai.005G088700.1	GO:0004298, GO:0051603, GO:0005839
Gorai.005G088800.1	GO:0003677, GO:0006355
Gorai.005G088900.1	GO:0004190, GO:0006508
Gorai.005G089000.1	GO:0004190, GO:0006508
Gorai.005G089100.1	GO:0016491, GO:0008152, GO:0055114
Gorai.005G089200.1	GO:0045454
Gorai.005G089300.1	GO:0005515
Gorai.005G089400.1	GO:0016491, GO:0051537, GO:0055114, GO:0010277
Gorai.005G089600.1	GO:0016788, GO:0006629
Gorai.005G089700.1	GO:0016788, GO:0006629
Gorai.005G089900.1	GO:0016020, GO:0055085
Gorai.005G090000.1	GO:0006950
Gorai.005G090100.1	GO:0004252, GO:0016021
Gorai.005G090300.1	GO:0016020
Gorai.005G090600.1	GO:0016740, GO:0030170, GO:0009058, GO:0008152, GO:0006520
Gorai.005G091200.1	GO:0005515, GO:0008270
Gorai.005G091400.1	GO:0005515, GO:0005543
Gorai.005G091500.1	GO:0003723, GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.005G091600.1	GO:0020037, GO:0009055, GO:0055114, GO:0016491, GO:0030151
Gorai.005G091700.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G092100.1	GO:0008152, GO:0004372, GO:0006544, GO:0006563
Gorai.005G092300.1	GO:0016491, GO:0016706, GO:0055114
Gorai.005G092400.1	GO:0003700, GO:0043565, GO:0046983, GO:0006355
Gorai.005G093000.1	GO:0003677, GO:0046983
Gorai.005G093200.1	GO:0004553, GO:0005975
Gorai.005G093300.1	GO:0004553, GO:0005975
Gorai.005G093500.1	GO:0003700, GO:0006355
Gorai.005G093700.1	GO:0003824, GO:0008152
Gorai.005G093800.1	GO:0005215, GO:0006810, GO:0055085, GO:0016021
Gorai.005G094200.1	GO:0045454
Gorai.005G094500.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G094900.1	GO:0004356, GO:0006807
Gorai.005G095000.1	GO:0016491, GO:0051287, GO:0055114
Gorai.005G095700.1	GO:0031072
Gorai.005G096000.1	GO:0005515, GO:0005543, GO:0007165, GO:0005622
Gorai.005G096500.1	GO:0004190, GO:0006508
Gorai.005G096600.1	GO:0004221, GO:0006511, GO:0008270
Gorai.005G096800.1	GO:0031072
Gorai.005G097000.1	GO:0005515
Gorai.005G097100.1	GO:0003700, GO:0008270, GO:0043565, GO:0006355, GO:0005515
Gorai.005G097200.1	GO:0004372, GO:0006544, GO:0006563
Gorai.005G097300.1	GO:0015018, GO:0016020
Gorai.005G097400.1	GO:0006511
Gorai.005G097600.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.005G097700.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.005G097800.1	GO:0051258, GO:0043234, GO:0003924, GO:0005525, GO:0006184
Gorai.005G098000.1	GO:0004806, GO:0006629
Gorai.005G098100.1	GO:0003700, GO:0043565, GO:0006355, GO:0003677, GO:0005634
Gorai.005G098200.1	GO:0003700, GO:0043565, GO:0006355, GO:0003677, GO:0005634
Gorai.005G098300.1	GO:0003824, GO:0008152
Gorai.005G098700.1	GO:0005515, GO:0005524, GO:0016818, GO:0006355, GO:0005634
Gorai.005G098800.1	GO:0003777, GO:0005524, GO:0007018
Gorai.005G099500.1	GO:0005515
Gorai.005G099900.1	GO:0004252, GO:0006508, GO:0042802, GO:0043086
Gorai.005G100000.1	GO:0048193, GO:0016020
Gorai.005G100100.1	GO:0020037
Gorai.005G100300.1	GO:0003723
Gorai.005G100400.1	GO:0005506, GO:0009055, GO:0016705, GO:0020037, GO:0055114
Gorai.005G100600.1	GO:0003677, GO:0046983, GO:0003700, GO:0006355, GO:0005634
Gorai.005G100700.1	GO:0005506, GO:0009055, GO:0016705, GO:0020037, GO:0055114
Gorai.005G100800.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.005G100900.1	GO:0004672, GO:0005524, GO:0006468, GO:0048544, GO:0005529
Gorai.005G101000.1	GO:0016787
Gorai.005G101100.1	GO:0005634
Gorai.005G101300.1	GO:0016881
Gorai.005G101400.1	GO:0003700, GO:0043565, GO:0006355
Gorai.005G101500.1	GO:0008083, GO:0008283, GO:0005576
Gorai.005G101600.1	GO:0003676, GO:0003723
Gorai.005G102000.1	GO:0003700, GO:0043565, GO:0006355, GO:0005634
Gorai.005G102200.1	GO:0004806, GO:0006629
Gorai.005G103100.1	GO:0003777, GO:0005524, GO:0007018
Gorai.005G103200.1	GO:0003824
Gorai.005G103400.1	GO:0031072
Gorai.005G103600.1	GO:0016787, GO:0008152
Gorai.005G103700.1	GO:0016787, GO:0008152
Gorai.005G103800.1	GO:0005515
Gorai.005G103900.1	GO:0006629
Gorai.005G104200.1	GO:0006629
Gorai.005G104400.1	GO:0004185, GO:0006508
Gorai.005G104500.1	GO:0003677, GO:0046983
Gorai.005G105200.1	GO:0003677, GO:0008270, GO:0006355
Gorai.005G105400.1	GO:0003677, GO:0006355
Gorai.005G105500.1	GO:0015078, GO:0015986, GO:0045263
Gorai.005G105600.1	GO:0003677
Gorai.005G105700.1	GO:0005515
Gorai.005G105800.1	GO:0005506, GO:0009055, GO:0016705, GO:0020037, GO:0055114
Gorai.005G105900.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.005G106100.1	GO:0016757
Gorai.005G106300.1	GO:0016021
Gorai.005G106600.1	GO:0055114, GO:0016020
Gorai.005G107200.1	GO:0005515
Gorai.005G107900.1	GO:0005737
Gorai.005G108000.1	GO:0016746, GO:0009058, GO:0016747, GO:0006633, GO:0016020, GO:0008610
Gorai.005G108100.1	GO:0022857, GO:0055085, GO:0016021
Gorai.005G108300.1	GO:0003854, GO:0016616, GO:0006694, GO:0055114, GO:0003824, GO:0050662, GO:0044237
Gorai.005G108800.1	GO:0015979, GO:0009522
Gorai.005G108900.1	GO:0008137, GO:0055114, GO:0048038, GO:0051539
Gorai.005G109000.1	GO:0046933, GO:0046961, GO:0015992, GO:0046034, GO:0016469
Gorai.005G109300.1	GO:0005515
Gorai.005G109500.1	GO:0004672, GO:0005524, GO:0006468, GO:0016773, GO:0009103, GO:0016020
Gorai.005G109600.1	GO:0003700, GO:0043565, GO:0046983, GO:0006355
Gorai.005G109900.1	GO:0005524, GO:0009378, GO:0006281, GO:0006310, GO:0016887
Gorai.005G110000.1	GO:0045454
Gorai.005G110100.1	GO:0003700, GO:0006355
Gorai.005G110200.1	GO:0008234, GO:0006508
Gorai.005G110300.1	GO:0042301, GO:0015979, GO:0050821, GO:0009523, GO:0016020
Gorai.005G110400.1	GO:0015979, GO:0009523, GO:0009539, GO:0016020
Gorai.005G110500.1	GO:0016168, GO:0009767, GO:0019684, GO:0009521, GO:0016020
Gorai.005G110700.1	GO:0008270, GO:0005622
Gorai.005G110900.1	GO:0009055, GO:0016491, GO:0055114, GO:0005515
Gorai.005G111000.1	GO:0003700, GO:0043565, GO:0046983, GO:0006355
Gorai.005G111200.1	GO:0003677
Gorai.005G112100.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.005G112200.1	GO:0005515
Gorai.005G112300.1	GO:0016616, GO:0051287, GO:0055114
Gorai.005G112500.1	GO:0003924, GO:0005525, GO:0007264, GO:0005622
Gorai.005G112600.1	GO:0046872
Gorai.005G112700.1	GO:0016491, GO:0016706, GO:0055114
Gorai.005G113000.1	GO:0003824, GO:0008152
Gorai.005G113100.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G113400.1	GO:0004553, GO:0005975, GO:0016762, GO:0006073, GO:0005618, GO:0048046
Gorai.005G113500.1	GO:0003824, GO:0008152
Gorai.005G113800.1	GO:0003824, GO:0043169, GO:0005975, GO:0004553
Gorai.005G114000.1	GO:0008308, GO:0006820, GO:0044070, GO:0055085, GO:0005741
Gorai.005G114100.1	GO:0005515, GO:0004842, GO:0016567, GO:0000151
Gorai.005G114200.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G114300.1	GO:0005515
Gorai.005G114500.1	GO:0005515
Gorai.005G114600.1	GO:0003824
Gorai.005G114800.1	GO:0016746, GO:0008152
Gorai.005G114900.1	GO:0004579, GO:0006486, GO:0005783, GO:0016021
Gorai.005G115000.1	GO:0016820, GO:0015992, GO:0016471
Gorai.005G115300.1	GO:0005515
Gorai.005G115400.1	GO:0016787
Gorai.005G115600.1	GO:0003872, GO:0006096, GO:0005945
Gorai.005G115700.1	GO:0022857, GO:0055085, GO:0016021
Gorai.005G115800.1	GO:0042578
Gorai.005G115900.1	GO:0003677
Gorai.005G116000.1	GO:0005215, GO:0006857, GO:0016020, GO:0055085, GO:0016021
Gorai.005G116100.1	GO:0003824, GO:0008152, GO:0016874, GO:0005524, GO:0008716
Gorai.005G116400.1	GO:0005525
Gorai.005G116500.1	GO:0003700, GO:0006355
Gorai.005G116600.1	GO:0046872
Gorai.005G116800.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G116900.1	GO:0004252, GO:0006508
Gorai.005G117000.1	GO:0005515
Gorai.005G117100.1	GO:0015079, GO:0071805, GO:0016020
Gorai.005G117200.1	GO:0003899, GO:0046983, GO:0006351
Gorai.005G117500.1	GO:0016788, GO:0006629
Gorai.005G117700.1	GO:0003676
Gorai.005G118000.1	GO:0016491, GO:0016706, GO:0055114
Gorai.005G118100.1	GO:0051258, GO:0043234, GO:0003924, GO:0005525, GO:0006184
Gorai.005G118300.1	GO:0000166, GO:0004827, GO:0005524, GO:0006433, GO:0005737
Gorai.005G118400.1	GO:0005515
Gorai.005G118500.1	GO:0003676, GO:0004386, GO:0005524
Gorai.005G118600.1	GO:0003676, GO:0005524, GO:0008026
Gorai.005G118700.1	GO:0006260, GO:0000808, GO:0005634
Gorai.005G118800.1	GO:0003677, GO:0006352, GO:0016570, GO:0005634
Gorai.005G119100.1	GO:0005198, GO:0006890, GO:0030126
Gorai.005G119300.1	GO:0004672, GO:0005524, GO:0006468, GO:0004674
Gorai.005G119400.1	GO:0016491, GO:0008152
Gorai.005G119700.1	GO:0016616, GO:0048037, GO:0055114, GO:0004616, GO:0006098, GO:0016491
Gorai.005G120000.1	GO:0003676, GO:0008270
Gorai.005G120300.1	GO:0005515
Gorai.005G120400.1	GO:0003677, GO:0005524, GO:0006260, GO:0016851, GO:0015979, GO:0015995, GO:0016887, GO:0006270, GO:0005634
Gorai.005G120500.1	GO:0008137, GO:0055114, GO:0048038, GO:0051539
Gorai.005G120600.1	GO:0004553, GO:0005975
Gorai.005G120700.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G120800.1	GO:0008299
Gorai.005G120900.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.005G121100.1	GO:0008080
Gorai.005G121200.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.005G121500.1	GO:0003676
Gorai.005G121600.1	GO:0005506, GO:0016491, GO:0006633, GO:0055114
Gorai.005G121800.1	GO:0008762, GO:0016491, GO:0050660, GO:0055114
Gorai.005G121900.1	GO:0008762, GO:0016491, GO:0050660, GO:0055114
Gorai.005G122000.1	GO:0016020
Gorai.005G122100.1	GO:0004733, GO:0010181, GO:0055114
Gorai.005G122200.1	GO:0004571, GO:0005509, GO:0016020
Gorai.005G122500.1	GO:0003676, GO:0008270
Gorai.005G122600.1	GO:0003676
Gorai.005G123100.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G123200.1	GO:0005515, GO:0016070
Gorai.005G123300.1	GO:0045300, GO:0006631, GO:0055114
Gorai.005G123400.1	GO:0003723
Gorai.005G123600.1	GO:0004672, GO:0005524, GO:0006468
Gorai.005G123700.1	GO:0003677, GO:0003899, GO:0006351
Gorai.005G123800.1	GO:0003677, GO:0003824, GO:0008409
Gorai.005G123900.1	GO:0000166, GO:0004812, GO:0005524, GO:0006418, GO:0005737, GO:0003676
Gorai.005G124100.1	GO:0004553, GO:0005975
Gorai.005G124300.1	GO:0006457, GO:0015031
Gorai.005G124400.1	GO:0008312, GO:0030942, GO:0006614, GO:0005786
Gorai.005G125000.1	GO:0003824, GO:0046872, GO:0004619, GO:0030145, GO:0006007, GO:0005737
Gorai.005G125400.1	GO:0006457
Gorai.005G125700.1	GO:0005097, GO:0032313, GO:0005622
Gorai.005G125900.1	GO:0006888, GO:0005801, GO:0005622
Gorai.005G126000.1	GO:0005515
Gorai.005G126100.1	GO:0005097, GO:0032313, GO:0005622
Gorai.005G126200.1	GO:0004601, GO:0020037, GO:0006979, GO:0055114
Gorai.005G126400.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.005G126600.1	GO:0004252, GO:0016021
Gorai.005G126900.1	GO:0003824
Gorai.005G127000.1	GO:0005515
Gorai.005G127100.1	GO:0008137, GO:0042773, GO:0055114
Gorai.005G127500.1	GO:0003824, GO:0003852, GO:0009098
Gorai.005G127600.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.005G127800.1	GO:0005515
Gorai.005G127900.1	GO:0016788, GO:0003676, GO:0008270, GO:0016818
Gorai.005G128000.1	GO:0004869
Gorai.005G128200.1	GO:0008270, GO:0006886, GO:0006888, GO:0030127
Gorai.005G128400.1	GO:0016491, GO:0016706, GO:0055114
Gorai.005G128500.1	GO:0004190, GO:0016021
Gorai.005G128600.1	GO:0005509, GO:0007165, GO:0005578
Gorai.005G128800.1	GO:0003723
Gorai.005G129100.1	GO:0016757
Gorai.005G129200.1	GO:0008270
Gorai.005G129300.1	GO:0003676, GO:0008270
Gorai.005G129400.1	GO:0005515
Gorai.005G129700.1	GO:0005097, GO:0032313, GO:0005622
Gorai.005G129800.1	GO:0005515
Gorai.005G130000.1	GO:0005515
Gorai.005G130100.1	GO:0004221, GO:0006511, GO:0008270
Gorai.005G130200.1	GO:0005515, GO:0003677, GO:0005622
Gorai.005G130400.1	GO:0006260, GO:0000808, GO:0005634
Gorai.005G130700.1	GO:0005215, GO:0006814, GO:0055085, GO:0016020
